"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"2nd Amendment Patches.com","Halltown","Missouri","","Antigovernment Movement","","","2022"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2022"
"AC Skins","","California","","Racist Skinhead ","","Yes","2022"
"AC Skins","","Tennessee","","Racist Skinhead ","","Yes","2022"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","San Fernando Valley","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","San Gabriel Valley","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Santa Clarita","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Metairie","Louisiana","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Vancouver","Washington","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Washington","District of Columbia","ACT for America ","Anti-Muslim","Yes","","2022"
"ACT for America","","Connecticut","ACT for America ","Anti-Muslim","","Yes","2022"
"ACTBAC NC","Snow Camp","North Carolina","","Neo-Confederate","Yes","","2022"
"Active Club","","North Carolina","","White Nationalist ","","Yes","2022"
"Active Club","","Ohio","","White Nationalist ","","Yes","2022"
"Active Club","","Oregon","","White Nationalist ","","Yes","2022"
"Active Club","","Tennessee","","White Nationalist ","","Yes","2022"
"AFA of Indiana","Indianapolis","Indiana","","Anti-LGBTQ","","","2022"
"Affirmative Right","Atlanta","Georgia","","White Nationalist ","Yes","","2022"
"Al Moroccan Empire at New Jersey State Republic","","New Jersey","","Antigovernment Movement","Yes","Yes","2022"
"Alabama Parents Involved in Education","","Alabama","","Antigovernment Movement","","Yes","2022"
"Alaska Parents Involved in Education","","Alaska","","Antigovernment Movement","","Yes","2022"
"AlertAmerica.News","Hauppauge","New York","","Anti-Muslim","Yes","","2022"
"All Scripture Baptist Church","Knoxville","Tennessee","","Anti-LGBTQ","Yes","","2022"
"Alliance Defending Freedom","Scottsdale","Arizona","Alliance Defending Freedom","Anti-LGBTQ","Yes","","2022"
"Alt-Market.com","Pittsburgh","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"Ambassadors of Christ","Chicago","Illinois","","General Hate ","","","2022"
"Ambassadors of Christ","Brooklyn","New York","","General Hate ","Yes","","2022"
"America First Foundation","Saint Petersburg","Florida","","White Nationalist ","","","2022"
"America First Foundation","Berwyn","Illinois","","White Nationalist ","Yes","","2022"
"America's Remedy","Charlotte","North Carolina","","Antigovernment Movement","","","2022"
"America's Survival, Inc.","Owings","Maryland","","Antigovernment Movement","Yes","","2022"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","Yes","","2022"
"American Christian Dixie Knights of the Ku Klux Klan","Philadelphia","Pennsylvania","","Ku Klux Klan ","","","2022"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","Yes","","2022"
"American Common Law Academy","Pittsburgh","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"American Defense Skinheads","","Illinois","","Racist Skinhead ","","Yes","2022"
"American Defense Skinheads","","Pennsylvania","","Racist Skinhead ","","Yes","2022"
"American Family Association","Franklin","Pennsylvania","American Family Association","Anti-LGBTQ","","","2022"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","Yes","","2022"
"American Free Press","Upper Marlboro","Maryland","","General Hate ","Yes","","2022"
"American Freedom Alliance","Encino","California","","General Hate ","Yes","","2022"
"American Freedom Defense Initiative","New York City","New York","","Anti-Muslim","Yes","","2022"
"American Freedom Law Center","Ann Arbor","Michigan","","Anti-Muslim","Yes","","2022"
"American Freedom Network","Johnstown","Colorado","","Antigovernment Movement","Yes","","2022"
"American Freedom News","Hampton Twp","Pennsylvania","","White Nationalist ","Yes","","2022"
"American Freedom Party","New York","New York","American Freedom Party","White Nationalist ","","","2022"
"American Freedom Party","Los Angeles","California","American Freedom Party","White Nationalist ","Yes","","2022"
"American Front","","Washington","","Racist Skinhead ","","Yes","2022"
"American Futurist","Denver","Colorado","","Neo-Nazi","Yes","","2022"
"American Futurist","","Michigan","","Neo-Nazi","","Yes","2022"
"American Futurist","","Ohio","","Neo-Nazi","","Yes","2022"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","Yes","","2022"
"American Meeting Group","Austin","Texas","","Antigovernment Movement","Yes","","2022"
"American Meeting Group","","Wisconsin","","Antigovernment Movement","","Yes","2022"
"American National Socialist Party","","Texas","","Neo-Nazi","","Yes","2022"
"American Nazi Party","","New Hampshire","","Neo-Nazi","","Yes","2022"
"American Patriot Party","Ashland","Oregon","","Antigovernment Movement","Yes","","2022"
"American Patriot Vanguard","Rio Rancho","New Mexico","","Antigovernment Movement","Yes","","2022"
"American Patriot Vanguard","","California","","Antigovernment Movement","","Yes","2022"
"American Patriot Vanguard","","Illinois","","Antigovernment Movement","","Yes","2022"
